face_color,hair_color,upper_color,lower_color
dark,Brown,khaki_brown,light_gray
dark,Brown,dark_blue,dark_blue
normal,Blonde,light_gray,light_blue
normal,Black,green,tan_brown
fair,Brown,dark_brown,light_blue
dark,Brown,lavender,dark_brown
normal,Brown,blue,charcoal_gray
normal,Blonde,light_blue,dark_brown
dark,Black,purple,black
normal,Blonde,lavender,black
normal,Blonde,burnt_orange,gold
normal,Blonde,spring_green,navy_blue
dark,Brown,maroon,black
normal,Brown,medium_gray,khaki_brown
normal,Brown,burnt_orange,navy_blue
normal,Black,white,light_blue
fair,Brown,violet,khaki_brown
normal,Black,black,black
dark,Brown,medium_gray,navy_blue
dark,Blonde,charcoal_gray,dark_brown
dark,Brown,burnt_orange,dark_blue
normal,Brown,navy_blue,charcoal_gray
dark,Brown,light_blue,dark_blue
normal,Brown,maroon,light_blue
normal,Black,light_blue,dark_brown
normal,Blonde,yellow,light_gray
dark,Brown,dark_blue,charcoal_gray
fair,Brown,maroon,khaki_brown
normal,Brown,dark_brown,medium_gray
dark,Black,sky_blue,black
fair,Blonde,burnt_orange,brown
normal,Brown,red,charcoal_gray
normal,Brown,red,dark_brown
fair,Brown,white,light_blue
fair,Brown,dark_brown,medium_gray
normal,Black,light_gray,brown
fair,Blonde,medium_gray,gold
dark,Blonde,violet,gold
fair,Brown,olive_green,light_gray
fair,Brown,yellow,tan_brown
fair,Blonde,navy_blue,light_gray
fair,Black,lavender,light_blue
dark,Brown,green,light_gray
normal,Blonde,pink,khaki_brown
normal,Brown,brown,light_gray
dark,Brown,dark_brown,medium_gray
normal,Brown,khaki_brown,khaki_brown
fair,Blonde,purple,khaki_brown
dark,Brown,navy_blue,medium_gray
dark,Black,gold,dark_blue
dark,Blonde,violet,light_gray
normal,Black,red,navy_blue
normal,Blonde,green,navy_blue
fair,Black,maroon,charcoal_gray
fair,Blonde,burnt_orange,medium_gray
normal,Black,yellow,dark_blue
dark,Blonde,spring_green,white
normal,Black,white,black
fair,Blonde,lavender,medium_gray
fair,Black,gold,dark_blue
dark,Black,dark_blue,dark_brown
normal,Brown,brown,black
dark,Brown,black,medium_gray
dark,Blonde,navy_blue,light_blue
dark,Black,light_gray,light_gray
dark,Brown,tan_brown,brown
normal,Blonde,orange,tan_brown
fair,Black,pink,navy_blue
dark,Brown,charcoal_gray,navy_blue
fair,Blonde,light_gray,light_gray
normal,Black,violet,gold
dark,Black,burnt_orange,black
dark,Blonde,dark_brown,white
normal,Brown,lavender,tan_brown
fair,Blonde,white,light_gray
normal,Black,lavender,brown
dark,Blonde,olive_green,brown
normal,Brown,yellow,black
dark,Brown,maroon,khaki_brown
normal,Black,orange,black
fair,Brown,medium_gray,charcoal_gray
dark,Brown,light_blue,brown
fair,Blonde,white,navy_blue
fair,Brown,red,brown
normal,Brown,light_blue,light_gray
normal,Brown,brown,medium_gray
normal,Black,brown,light_gray
dark,Black,medium_gray,gold
dark,Blonde,spring_green,black
fair,Brown,dark_brown,dark_brown
normal,Brown,burnt_orange,light_gray
normal,Blonde,blue,light_blue
dark,Black,medium_gray,medium_gray
fair,Black,red,navy_blue
dark,Blonde,dark_blue,tan_brown
normal,Brown,violet,navy_blue
dark,Brown,light_gray,charcoal_gray
normal,Blonde,orange,brown
normal,Blonde,pink,dark_blue
fair,Blonde,burnt_orange,light_gray
fair,Brown,navy_blue,dark_brown
dark,Blonde,orange,charcoal_gray
normal,Blonde,orange,khaki_brown
normal,Black,purple,white
dark,Blonde,lavender,light_gray
dark,Brown,spring_green,navy_blue
normal,Brown,purple,dark_blue
fair,Black,red,light_blue
normal,Blonde,olive_green,dark_brown
dark,Brown,khaki_brown,medium_gray
normal,Brown,navy_blue,brown
dark,Black,dark_brown,white
normal,Black,tan_brown,light_blue
fair,Brown,black,medium_gray
fair,Black,light_blue,khaki_brown
dark,Brown,green,white
dark,Black,yellow,charcoal_gray
fair,Brown,purple,charcoal_gray
normal,Black,blue,khaki_brown
fair,Blonde,violet,dark_blue
normal,Blonde,lavender,light_blue
normal,Black,green,khaki_brown
normal,Brown,tan_brown,tan_brown
normal,Black,pink,navy_blue
normal,Brown,spring_green,tan_brown
fair,Blonde,light_gray,navy_blue
fair,Brown,navy_blue,medium_gray
dark,Blonde,orange,brown
dark,Brown,tan_brown,light_gray
normal,Black,light_gray,medium_gray
fair,Black,pink,dark_brown
normal,Black,spring_green,charcoal_gray
normal,Blonde,sky_blue,dark_blue
dark,Black,violet,medium_gray
dark,Black,dark_brown,medium_gray
fair,Blonde,yellow,dark_blue
dark,Black,green,dark_blue
dark,Black,pink,gold
dark,Blonde,light_gray,charcoal_gray
dark,Brown,red,charcoal_gray
normal,Blonde,maroon,light_blue
dark,Brown,light_blue,tan_brown
normal,Brown,dark_blue,light_blue
normal,Brown,dark_blue,light_gray
fair,Black,orange,brown
normal,Blonde,khaki_brown,black
normal,Blonde,red,medium_gray
normal,Brown,dark_blue,medium_gray
dark,Brown,light_blue,charcoal_gray
normal,Blonde,spring_green,light_blue
normal,Blonde,sky_blue,gold
normal,Brown,red,brown
fair,Brown,yellow,dark_brown
dark,Blonde,olive_green,light_gray
fair,Blonde,black,light_blue
fair,Black,red,tan_brown
fair,Blonde,red,charcoal_gray
dark,Brown,maroon,light_blue
normal,Brown,blue,black
fair,Blonde,brown,white
dark,Black,light_blue,navy_blue
normal,Black,charcoal_gray,khaki_brown
normal,Black,green,dark_blue
dark,Black,purple,brown
dark,Blonde,maroon,charcoal_gray
fair,Blonde,lavender,tan_brown
normal,Blonde,dark_brown,tan_brown
dark,Blonde,spring_green,charcoal_gray
dark,Blonde,blue,light_blue
dark,Black,light_blue,medium_gray
fair,Blonde,violet,tan_brown
dark,Blonde,green,light_gray
normal,Black,light_gray,khaki_brown
normal,Black,brown,dark_brown
dark,Black,olive_green,light_gray
fair,Brown,green,navy_blue
normal,Black,dark_blue,navy_blue
dark,Brown,lavender,charcoal_gray
normal,Brown,navy_blue,navy_blue
normal,Blonde,sky_blue,brown
dark,Blonde,burnt_orange,light_gray
normal,Black,light_gray,gold
fair,Blonde,olive_green,black
fair,Brown,tan_brown,brown
normal,Black,khaki_brown,black
normal,Blonde,lavender,medium_gray
normal,Black,purple,tan_brown
normal,Blonde,gold,medium_gray
dark,Blonde,burnt_orange,khaki_brown
dark,Brown,khaki_brown,tan_brown
fair,Black,pink,black
normal,Brown,olive_green,gold
fair,Brown,sky_blue,tan_brown
fair,Brown,lavender,light_blue
dark,Black,white,light_blue
dark,Brown,spring_green,tan_brown
fair,Blonde,sky_blue,navy_blue
fair,Black,navy_blue,white
normal,Black,black,white
normal,Brown,brown,light_blue
normal,Brown,blue,white
normal,Brown,purple,white
normal,Black,blue,light_gray
dark,Brown,light_gray,light_gray
dark,Black,violet,gold
dark,Black,maroon,charcoal_gray
normal,Brown,orange,brown
dark,Blonde,yellow,khaki_brown
normal,Black,sky_blue,white
fair,Black,dark_brown,white
dark,Brown,tan_brown,dark_blue
fair,Blonde,dark_brown,khaki_brown
fair,Black,tan_brown,khaki_brown
normal,Black,yellow,black
fair,Brown,white,medium_gray
fair,Black,purple,dark_brown
dark,Blonde,sky_blue,dark_brown
dark,Brown,black,tan_brown
dark,Blonde,red,navy_blue
dark,Black,spring_green,brown
normal,Blonde,light_gray,medium_gray
normal,Blonde,khaki_brown,white
fair,Blonde,violet,gold
fair,Brown,blue,white
fair,Brown,yellow,medium_gray
normal,Black,dark_brown,navy_blue
fair,Black,navy_blue,brown
fair,Blonde,pink,gold
dark,Blonde,spring_green,light_gray
fair,Black,black,black
dark,Black,light_blue,dark_brown
dark,Blonde,tan_brown,white
dark,Blonde,violet,navy_blue
dark,Black,pink,medium_gray
normal,Black,tan_brown,tan_brown
normal,Brown,spring_green,dark_brown
normal,Blonde,spring_green,dark_brown
normal,Brown,dark_blue,navy_blue
normal,Blonde,black,navy_blue
normal,Blonde,medium_gray,tan_brown
fair,Blonde,spring_green,dark_blue
dark,Blonde,light_blue,black
fair,Brown,dark_brown,black
normal,Brown,burnt_orange,medium_gray
fair,Blonde,maroon,navy_blue
dark,Black,sky_blue,charcoal_gray
dark,Black,green,black
fair,Black,spring_green,gold
normal,Brown,green,black
dark,Blonde,brown,black
dark,Black,dark_brown,dark_brown
fair,Brown,violet,brown
fair,Black,brown,navy_blue
dark,Blonde,orange,dark_brown
fair,Black,light_blue,white
fair,Blonde,navy_blue,black
fair,Blonde,gold,khaki_brown
normal,Black,dark_blue,gold
fair,Brown,light_blue,brown
normal,Brown,pink,brown
normal,Blonde,brown,khaki_brown
dark,Blonde,red,medium_gray
dark,Black,khaki_brown,dark_brown
fair,Black,green,white
fair,Blonde,brown,light_gray
dark,Blonde,spring_green,khaki_brown
fair,Black,red,light_gray
fair,Black,burnt_orange,tan_brown
normal,Blonde,light_gray,gold
dark,Blonde,charcoal_gray,khaki_brown
normal,Black,brown,white
normal,Blonde,black,dark_blue
normal,Brown,khaki_brown,tan_brown
normal,Brown,violet,khaki_brown
fair,Brown,khaki_brown,light_gray
normal,Black,khaki_brown,tan_brown
dark,Blonde,maroon,brown
dark,Blonde,green,light_blue
fair,Blonde,medium_gray,tan_brown
fair,Blonde,khaki_brown,medium_gray
dark,Black,violet,black
normal,Brown,green,tan_brown
fair,Brown,black,charcoal_gray
dark,Black,brown,white
normal,Black,blue,charcoal_gray
fair,Black,purple,light_blue
normal,Blonde,light_blue,navy_blue
fair,Blonde,purple,light_gray
fair,Blonde,khaki_brown,charcoal_gray
dark,Brown,spring_green,gold
fair,Brown,maroon,navy_blue
dark,Black,dark_blue,medium_gray
normal,Brown,red,gold
dark,Brown,tan_brown,light_blue
normal,Black,navy_blue,black
normal,Brown,yellow,navy_blue
normal,Black,gold,medium_gray
dark,Brown,red,tan_brown
fair,Black,red,medium_gray
normal,Brown,white,medium_gray
normal,Blonde,orange,black
fair,Black,violet,dark_blue
normal,Brown,charcoal_gray,medium_gray
dark,Blonde,black,tan_brown
normal,Blonde,white,dark_brown
normal,Blonde,spring_green,brown
normal,Brown,khaki_brown,charcoal_gray
normal,Black,maroon,light_blue
dark,Blonde,orange,light_gray
dark,Brown,light_gray,tan_brown
normal,Blonde,lavender,brown
fair,Brown,charcoal_gray,dark_blue
dark,Blonde,dark_brown,charcoal_gray
dark,Blonde,purple,medium_gray
normal,Blonde,blue,brown
fair,Blonde,light_blue,dark_brown
dark,Black,gold,light_gray
dark,Black,tan_brown,khaki_brown
dark,Brown,green,brown
normal,Black,brown,tan_brown
dark,Brown,light_blue,gold
normal,Brown,brown,charcoal_gray
normal,Black,navy_blue,white
normal,Brown,yellow,light_blue
fair,Blonde,purple,black
fair,Black,yellow,medium_gray
fair,Brown,lavender,light_gray
dark,Black,medium_gray,charcoal_gray
fair,Black,olive_green,white
normal,Brown,charcoal_gray,khaki_brown
normal,Black,purple,navy_blue
normal,Black,sky_blue,navy_blue
normal,Black,violet,brown
dark,Blonde,medium_gray,light_blue
dark,Blonde,light_gray,brown
fair,Black,spring_green,light_gray
dark,Brown,purple,light_gray
fair,Blonde,tan_brown,light_blue
normal,Brown,navy_blue,khaki_brown
normal,Black,dark_brown,gold
normal,Black,tan_brown,gold
normal,Brown,maroon,brown
fair,Blonde,black,light_gray
fair,Black,orange,dark_blue
fair,Blonde,orange,gold
normal,Black,medium_gray,brown
dark,Black,green,tan_brown
dark,Blonde,maroon,light_gray
dark,Black,burnt_orange,dark_blue
normal,Blonde,lavender,khaki_brown
fair,Black,pink,gold
normal,Brown,blue,light_gray
fair,Brown,tan_brown,light_blue
fair,Brown,pink,dark_blue
fair,Brown,violet,light_blue
fair,Brown,blue,charcoal_gray
dark,Black,khaki_brown,tan_brown
normal,Blonde,purple,tan_brown
dark,Brown,dark_blue,light_blue
fair,Brown,olive_green,medium_gray
dark,Blonde,pink,tan_brown
dark,Black,charcoal_gray,charcoal_gray
fair,Brown,dark_blue,light_gray
dark,Black,tan_brown,medium_gray
dark,Black,dark_brown,light_blue
normal,Brown,dark_brown,black
normal,Brown,light_blue,khaki_brown
normal,Brown,sky_blue,black
fair,Brown,orange,light_blue
fair,Blonde,spring_green,charcoal_gray
dark,Blonde,navy_blue,dark_blue
dark,Black,tan_brown,charcoal_gray
fair,Brown,burnt_orange,navy_blue
fair,Brown,red,gold
fair,Brown,olive_green,khaki_brown
fair,Brown,khaki_brown,white
dark,Blonde,spring_green,gold
normal,Black,red,dark_blue
fair,Black,black,tan_brown
fair,Blonde,brown,dark_brown
fair,Black,brown,tan_brown
dark,Black,orange,gold
normal,Black,tan_brown,charcoal_gray
dark,Blonde,burnt_orange,black
fair,Black,blue,white
normal,Brown,tan_brown,white
normal,Brown,green,light_gray
fair,Brown,violet,dark_brown
dark,Brown,dark_blue,black
dark,Black,light_gray,dark_blue
normal,Blonde,navy_blue,medium_gray
fair,Black,yellow,brown
dark,Brown,black,light_gray
normal,Brown,green,light_blue
dark,Black,olive_green,light_blue
fair,Black,medium_gray,gold
dark,Brown,spring_green,light_blue
dark,Blonde,green,white
dark,Blonde,dark_blue,light_blue
fair,Blonde,burnt_orange,dark_brown
dark,Blonde,navy_blue,gold
normal,Brown,olive_green,black
normal,Brown,black,brown
dark,Black,maroon,khaki_brown
fair,Black,yellow,tan_brown
dark,Brown,purple,brown
normal,Black,red,light_gray
dark,Brown,burnt_orange,navy_blue
dark,Brown,blue,dark_brown
normal,Blonde,white,black
normal,Brown,spring_green,medium_gray
fair,Brown,khaki_brown,charcoal_gray
fair,Brown,tan_brown,khaki_brown
dark,Brown,spring_green,charcoal_gray
normal,Blonde,charcoal_gray,khaki_brown
normal,Black,violet,light_gray
normal,Black,yellow,khaki_brown
fair,Brown,lavender,dark_brown
normal,Blonde,olive_green,light_blue
fair,Brown,charcoal_gray,navy_blue
fair,Blonde,maroon,dark_brown
normal,Blonde,violet,medium_gray
normal,Blonde,light_gray,white
normal,Black,spring_green,light_blue
normal,Brown,dark_brown,dark_brown
normal,Brown,navy_blue,black
dark,Blonde,gold,black
dark,Brown,black,gold
fair,Brown,black,tan_brown
fair,Blonde,tan_brown,khaki_brown
normal,Blonde,dark_brown,charcoal_gray
dark,Brown,gold,charcoal_gray
normal,Black,red,khaki_brown
fair,Black,navy_blue,dark_brown
dark,Brown,black,dark_blue
fair,Black,olive_green,charcoal_gray
normal,Blonde,red,white
normal,Black,pink,white
normal,Black,orange,tan_brown
fair,Blonde,khaki_brown,tan_brown
fair,Black,red,brown
dark,Blonde,navy_blue,navy_blue
dark,Brown,gold,dark_blue
fair,Blonde,brown,tan_brown
normal,Black,tan_brown,black
fair,Black,black,light_gray
dark,Brown,medium_gray,dark_brown
normal,Blonde,green,white
normal,Blonde,green,black
fair,Black,sky_blue,brown
dark,Brown,red,brown
normal,Brown,pink,white
normal,Blonde,tan_brown,dark_blue
dark,Black,charcoal_gray,dark_blue
fair,Brown,light_blue,dark_blue
fair,Brown,medium_gray,light_gray
fair,Blonde,maroon,tan_brown
normal,Brown,light_gray,medium_gray
fair,Blonde,purple,tan_brown
normal,Brown,medium_gray,light_blue
normal,Brown,white,dark_brown
fair,Black,gold,gold
normal,Blonde,violet,dark_brown
fair,Brown,pink,tan_brown
normal,Blonde,khaki_brown,light_gray
fair,Blonde,burnt_orange,khaki_brown
normal,Brown,olive_green,dark_blue
normal,Blonde,tan_brown,navy_blue
fair,Black,burnt_orange,dark_brown
fair,Blonde,light_blue,black
normal,Brown,light_gray,light_gray
normal,Black,light_gray,light_blue
normal,Black,pink,khaki_brown
fair,Blonde,red,brown
normal,Black,dark_blue,tan_brown
fair,Black,sky_blue,gold
dark,Blonde,light_blue,charcoal_gray
fair,Blonde,white,dark_brown
dark,Blonde,medium_gray,dark_brown
normal,Brown,tan_brown,khaki_brown
normal,Blonde,maroon,medium_gray
normal,Black,olive_green,charcoal_gray
fair,Blonde,light_blue,white
normal,Blonde,brown,charcoal_gray
fair,Blonde,dark_brown,charcoal_gray
dark,Brown,orange,black
dark,Brown,orange,tan_brown
normal,Brown,lavender,brown
fair,Blonde,purple,gold
normal,Brown,dark_brown,light_blue
fair,Blonde,spring_green,brown
dark,Blonde,purple,dark_brown
normal,Blonde,pink,tan_brown
fair,Blonde,maroon,medium_gray
normal,Blonde,navy_blue,charcoal_gray
fair,Black,tan_brown,light_gray
normal,Brown,maroon,white
fair,Brown,gold,tan_brown
dark,Black,dark_blue,black
fair,Brown,burnt_orange,khaki_brown
normal,Blonde,navy_blue,light_gray
normal,Blonde,purple,white
normal,Blonde,pink,black
fair,Brown,light_blue,gold
normal,Brown,black,dark_brown
dark,Brown,medium_gray,khaki_brown
dark,Blonde,red,khaki_brown
normal,Black,green,white
fair,Brown,maroon,charcoal_gray
fair,Black,olive_green,light_gray
fair,Blonde,lavender,khaki_brown
fair,Blonde,blue,light_blue
dark,Black,tan_brown,navy_blue
fair,Black,dark_brown,brown
normal,Black,spring_green,tan_brown
dark,Black,dark_brown,navy_blue
fair,Black,tan_brown,light_blue
dark,Black,yellow,gold
normal,Blonde,brown,white
normal,Blonde,burnt_orange,brown
normal,Brown,burnt_orange,dark_brown
normal,Black,tan_brown,brown
fair,Black,maroon,medium_gray
normal,Blonde,gold,light_gray
normal,Black,olive_green,black
fair,Black,lavender,tan_brown
fair,Brown,burnt_orange,tan_brown
normal,Black,charcoal_gray,black
normal,Black,spring_green,light_gray
normal,Blonde,charcoal_gray,gold
dark,Black,charcoal_gray,navy_blue
dark,Black,medium_gray,navy_blue
fair,Brown,pink,medium_gray
dark,Brown,dark_brown,dark_blue
dark,Black,dark_blue,light_gray
fair,Brown,sky_blue,light_blue
normal,Black,maroon,light_gray
fair,Blonde,purple,medium_gray
dark,Brown,medium_gray,tan_brown
dark,Black,white,black
normal,Brown,sky_blue,light_blue
fair,Blonde,medium_gray,khaki_brown
dark,Blonde,white,navy_blue
normal,Brown,orange,khaki_brown
normal,Blonde,light_gray,black
normal,Blonde,gold,khaki_brown
dark,Blonde,purple,dark_blue
normal,Blonde,purple,charcoal_gray
normal,Blonde,blue,light_gray
fair,Black,light_gray,medium_gray
normal,Black,green,light_gray
dark,Black,light_blue,light_blue
fair,Blonde,light_blue,charcoal_gray
fair,Blonde,olive_green,dark_brown
dark,Blonde,black,black
normal,Black,purple,black
dark,Blonde,light_blue,navy_blue
dark,Brown,black,navy_blue
normal,Brown,purple,black
dark,Black,dark_brown,brown
dark,Brown,sky_blue,dark_blue
fair,Blonde,medium_gray,light_blue
fair,Brown,lavender,white
normal,Brown,pink,light_gray
dark,Blonde,maroon,navy_blue
normal,Brown,dark_blue,white
dark,Blonde,yellow,charcoal_gray
dark,Black,gold,white
fair,Black,pink,light_blue
normal,Blonde,brown,light_blue
dark,Blonde,dark_blue,charcoal_gray
dark,Blonde,lavender,khaki_brown
normal,Black,sky_blue,dark_blue
normal,Brown,pink,light_blue
fair,Brown,brown,dark_brown
normal,Blonde,orange,light_blue
