face,hair,category,location,upper_color,lower_color
normal,Black,Business_Casual,North,burnt_orange,black
fair,Blonde,Evening_Black_Tie,North,red,dark_blue
normal,Black,Casual_Chic_Style,East,pink,brown
fair,Brown,Sports_Wear,South,maroon,khaki_brown
fair,Brown,Ethnic_fashion_style,South,navy_blue,light_gray
fair,Black,Business_Casual,North,orange,white
fair,Black,Rocker_Chic_Style,South,blue,gold
fair,Black,Sports_Wear,South,red,navy_blue
dark,Black,Sports_Wear,West,orange,navy_blue
normal,Blonde,Evening_Black_Tie,North,black,white
fair,Black,Formal_Office_Wear,West,dark_brown,black
normal,Blonde,Evening_Black_Tie,East,navy_blue,charcoal_gray
fair,Brown,Skateboarders,South,blue,dark_brown
fair,Brown,Geeky_chic_Style,West,navy_blue,white
dark,Brown,Formal_Office_Wear,North,maroon,dark_blue
dark,Brown,Casual_Chic_Style,West,yellow,brown
normal,Black,Evening_Black_Tie,South,spring_green,dark_brown
dark,Blonde,Skateboarders,South,gold,charcoal_gray
normal,Brown,Retro_Fashion,East,blue,navy_blue
fair,Brown,Girly_Style,North,sky_blue,navy_blue
dark,Black,Streetwear_Style,West,red,charcoal_gray
normal,Brown,Business_Casual,South,spring_green,brown
fair,Brown,Streetwear_Style,East,lavender,light_blue
normal,Brown,Ethnic_fashion_style,South,white,charcoal_gray
dark,Brown,Flamboyant_style,North,burnt_orange,tan_brown
dark,Black,Retro_Fashion,North,olive_green,gold
fair,Brown,Evening_Black_Tie,East,medium_gray,brown
fair,Black,Girly_Style,East,maroon,dark_brown
dark,Blonde,Rocker_Chic_Style,West,pink,light_blue
normal,Brown,Evening_Black_Tie,South,violet,navy_blue
normal,Blonde,Business_Casual,South,brown,navy_blue
dark,Blonde,Rocker_Chic_Style,West,yellow,dark_brown
fair,Blonde,Rocker_Chic_Style,West,dark_brown,tan_brown
normal,Brown,Rocker_Chic_Style,South,green,brown
fair,Black,Girly_Style,South,spring_green,light_blue
normal,Brown,Hip_Hop_Style,West,violet,light_gray
dark,Brown,Military_style,South,khaki_brown,gold
dark,Blonde,Sports_Wear,West,red,gold
fair,Brown,Rocker_Chic_Style,East,yellow,dark_brown
normal,Blonde,Skateboarders,North,olive_green,light_gray
normal,Blonde,Streetwear_Style,East,tan_brown,tan_brown
dark,Black,Girly_Style,North,brown,dark_blue
dark,Black,Retro_Fashion,East,gold,gold
dark,Black,Business_Casual,West,tan_brown,charcoal_gray
normal,Brown,Sports_Wear,North,green,khaki_brown
normal,Brown,Sports_Wear,North,spring_green,gold
dark,Brown,Flamboyant_style,South,dark_brown,khaki_brown
fair,Brown,Rocker_Chic_Style,South,gold,charcoal_gray
normal,Brown,Evening_Black_Tie,West,pink,medium_gray
dark,Brown,Casual_Chic_Style,East,navy_blue,tan_brown
fair,Black,Sports_Wear,East,red,dark_brown
dark,Brown,Military_style,North,pink,medium_gray
fair,Blonde,Casual_Chic_Style,South,khaki_brown,dark_blue
normal,Blonde,Business_Casual,North,violet,dark_brown
normal,Brown,Ethnic_fashion_style,South,blue,dark_blue
normal,Brown,Flamboyant_style,South,olive_green,khaki_brown
dark,Brown,Ethnic_fashion_style,South,light_blue,light_blue
dark,Black,Streetwear_Style,East,lavender,black
normal,Blonde,Retro_Fashion,South,khaki_brown,tan_brown
fair,Brown,Skateboarders,North,light_blue,navy_blue
fair,Brown,Casual_Chic_Style,East,tan_brown,dark_brown
fair,Brown,Girly_Style,South,dark_brown,khaki_brown
normal,Black,Formal_Office_Wear,East,medium_gray,dark_blue
fair,Brown,Sports_Wear,West,violet,navy_blue
dark,Black,Geeky_chic_Style,West,violet,medium_gray
fair,Black,Geeky_chic_Style,South,orange,charcoal_gray
normal,Black,Skateboarders,North,yellow,charcoal_gray
normal,Blonde,Streetwear_Style,North,purple,navy_blue
dark,Brown,Girly_Style,South,red,gold
fair,Black,Business_Casual,East,orange,dark_blue
normal,Black,Skateboarders,North,medium_gray,black
dark,Brown,Ethnic_fashion_style,North,gold,medium_gray
dark,Brown,Sports_Wear,South,sky_blue,gold
normal,Black,Retro_Fashion,North,olive_green,gold
dark,Black,Rocker_Chic_Style,North,red,light_gray
fair,Black,Hip_Hop_Style,South,navy_blue,medium_gray
fair,Blonde,Rocker_Chic_Style,South,yellow,khaki_brown
dark,Blonde,Ethnic_fashion_style,West,purple,dark_brown
dark,Black,Retro_Fashion,West,yellow,khaki_brown
dark,Blonde,Formal_Office_Wear,West,spring_green,tan_brown
fair,Blonde,Streetwear_Style,West,yellow,dark_blue
fair,Brown,Flamboyant_style,North,olive_green,medium_gray
fair,Brown,Business_Casual,North,green,dark_blue
normal,Brown,Streetwear_Style,South,purple,brown
dark,Blonde,Girly_Style,East,gold,white
dark,Black,Geeky_chic_Style,North,burnt_orange,khaki_brown
fair,Blonde,Geeky_chic_Style,South,sky_blue,khaki_brown
normal,Black,Rocker_Chic_Style,South,maroon,navy_blue
fair,Brown,Streetwear_Style,West,light_gray,black
normal,Brown,Flamboyant_style,East,navy_blue,light_blue
dark,Black,Girly_Style,South,olive_green,white
fair,Brown,Streetwear_Style,West,medium_gray,tan_brown
fair,Blonde,Streetwear_Style,North,gold,light_gray
fair,Blonde,Military_style,East,olive_green,charcoal_gray
fair,Blonde,Rocker_Chic_Style,North,spring_green,navy_blue
normal,Blonde,Hip_Hop_Style,North,navy_blue,khaki_brown
dark,Black,Evening_Black_Tie,West,sky_blue,dark_brown
dark,Brown,Sports_Wear,North,sky_blue,black
fair,Blonde,Sports_Wear,West,purple,dark_brown
normal,Black,Flamboyant_style,North,maroon,dark_brown
dark,Brown,Ethnic_fashion_style,North,green,medium_gray
normal,Black,Girly_Style,South,brown,light_blue
dark,Brown,Sports_Wear,West,white,black
normal,Brown,Sports_Wear,East,white,white
normal,Black,Sports_Wear,South,violet,navy_blue
fair,Blonde,Flamboyant_style,North,dark_brown,white
fair,Blonde,Formal_Office_Wear,South,red,charcoal_gray
fair,Blonde,Retro_Fashion,West,pink,black
dark,Brown,Retro_Fashion,North,charcoal_gray,tan_brown
normal,Blonde,Evening_Black_Tie,West,spring_green,light_gray
dark,Brown,Casual_Chic_Style,West,light_gray,gold
dark,Brown,Military_style,South,maroon,gold
fair,Black,Military_style,West,maroon,khaki_brown
fair,Brown,Ethnic_fashion_style,South,olive_green,dark_brown
normal,Black,Streetwear_Style,West,gold,black
fair,Brown,Geeky_chic_Style,North,burnt_orange,tan_brown
dark,Blonde,Casual_Chic_Style,West,spring_green,light_gray
fair,Brown,Rocker_Chic_Style,East,violet,light_gray
normal,Brown,Hip_Hop_Style,East,medium_gray,charcoal_gray
normal,Black,Casual_Chic_Style,West,gold,light_blue
normal,Brown,Flamboyant_style,South,orange,dark_blue
fair,Brown,Rocker_Chic_Style,North,light_blue,charcoal_gray
normal,Blonde,Ethnic_fashion_style,East,lavender,black
normal,Black,Ethnic_fashion_style,West,orange,navy_blue
normal,Black,Rocker_Chic_Style,East,dark_brown,light_blue
normal,Black,Streetwear_Style,West,medium_gray,khaki_brown
dark,Brown,Girly_Style,West,orange,white
dark,Black,Skateboarders,South,sky_blue,light_blue
fair,Blonde,Skateboarders,North,navy_blue,light_gray
normal,Brown,Sports_Wear,East,olive_green,dark_blue
fair,Brown,Streetwear_Style,South,khaki_brown,light_gray
normal,Blonde,Hip_Hop_Style,West,light_blue,medium_gray
normal,Blonde,Rocker_Chic_Style,North,gold,khaki_brown
fair,Black,Ethnic_fashion_style,West,burnt_orange,white
dark,Blonde,Geeky_chic_Style,North,light_blue,white
normal,Black,Girly_Style,South,brown,navy_blue
normal,Brown,Flamboyant_style,South,sky_blue,dark_blue
dark,Blonde,Formal_Office_Wear,North,maroon,brown
fair,Brown,Formal_Office_Wear,North,charcoal_gray,brown
dark,Brown,Retro_Fashion,North,lavender,khaki_brown
dark,Black,Evening_Black_Tie,North,light_blue,dark_blue
dark,Brown,Streetwear_Style,East,black,white
fair,Blonde,Formal_Office_Wear,East,sky_blue,medium_gray
fair,Blonde,Ethnic_fashion_style,South,navy_blue,light_gray
fair,Brown,Casual_Chic_Style,South,dark_brown,white
dark,Brown,Formal_Office_Wear,South,violet,light_gray
dark,Black,Sports_Wear,East,olive_green,dark_blue
normal,Brown,Streetwear_Style,South,medium_gray,khaki_brown
dark,Blonde,Rocker_Chic_Style,South,light_blue,white
dark,Blonde,Ethnic_fashion_style,South,dark_brown,dark_brown
fair,Brown,Retro_Fashion,South,black,charcoal_gray
normal,Black,Formal_Office_Wear,West,white,dark_blue
dark,Blonde,Ethnic_fashion_style,East,olive_green,white
dark,Blonde,Girly_Style,East,pink,dark_blue
normal,Blonde,Hip_Hop_Style,West,light_gray,dark_brown
dark,Black,Evening_Black_Tie,West,maroon,white
normal,Black,Casual_Chic_Style,South,violet,dark_blue
dark,Brown,Military_style,East,spring_green,black
fair,Black,Ethnic_fashion_style,South,black,charcoal_gray
fair,Blonde,Military_style,West,pink,white
normal,Blonde,Sports_Wear,West,dark_brown,tan_brown
fair,Blonde,Rocker_Chic_Style,East,light_blue,khaki_brown
fair,Black,Military_style,West,light_blue,black
fair,Blonde,Casual_Chic_Style,West,dark_blue,light_blue
fair,Black,Military_style,East,dark_blue,white
normal,Blonde,Skateboarders,South,olive_green,brown
dark,Blonde,Girly_Style,West,charcoal_gray,medium_gray
normal,Black,Retro_Fashion,West,white,brown
fair,Blonde,Military_style,North,spring_green,navy_blue
fair,Black,Sports_Wear,East,brown,black
fair,Brown,Ethnic_fashion_style,North,navy_blue,brown
fair,Brown,Flamboyant_style,West,red,charcoal_gray
normal,Black,Retro_Fashion,North,maroon,tan_brown
fair,Blonde,Girly_Style,South,khaki_brown,tan_brown
normal,Black,Ethnic_fashion_style,South,navy_blue,khaki_brown
dark,Brown,Flamboyant_style,North,orange,light_gray
dark,Black,Casual_Chic_Style,North,khaki_brown,light_gray
fair,Blonde,Evening_Black_Tie,West,red,white
normal,Black,Formal_Office_Wear,South,gold,brown
normal,Brown,Flamboyant_style,East,brown,light_blue
dark,Brown,Streetwear_Style,West,blue,white
dark,Black,Evening_Black_Tie,West,blue,light_blue
dark,Blonde,Geeky_chic_Style,East,khaki_brown,brown
normal,Brown,Hip_Hop_Style,East,white,light_gray
dark,Brown,Casual_Chic_Style,East,dark_brown,dark_brown
fair,Brown,Geeky_chic_Style,West,black,dark_brown
dark,Brown,Flamboyant_style,North,blue,dark_brown
dark,Black,Flamboyant_style,West,spring_green,brown
normal,Black,Rocker_Chic_Style,South,white,charcoal_gray
normal,Blonde,Sports_Wear,West,burnt_orange,khaki_brown
normal,Black,Flamboyant_style,West,red,khaki_brown
normal,Blonde,Hip_Hop_Style,North,dark_blue,gold
normal,Blonde,Skateboarders,North,purple,khaki_brown
normal,Blonde,Rocker_Chic_Style,South,dark_blue,medium_gray
normal,Blonde,Hip_Hop_Style,North,dark_brown,white
dark,Black,Flamboyant_style,East,light_gray,dark_blue
fair,Brown,Skateboarders,East,yellow,light_blue
fair,Brown,Skateboarders,South,medium_gray,brown
normal,Blonde,Ethnic_fashion_style,East,white,light_blue
dark,Black,Geeky_chic_Style,South,tan_brown,white
normal,Blonde,Rocker_Chic_Style,East,violet,light_blue
fair,Black,Flamboyant_style,West,olive_green,tan_brown
fair,Brown,Rocker_Chic_Style,East,burnt_orange,medium_gray
fair,Brown,Retro_Fashion,West,sky_blue,dark_blue
normal,Blonde,Flamboyant_style,West,white,gold
normal,Brown,Streetwear_Style,West,light_gray,dark_blue
dark,Blonde,Retro_Fashion,North,medium_gray,navy_blue
dark,Black,Casual_Chic_Style,South,gold,black
fair,Brown,Girly_Style,West,pink,light_gray
normal,Blonde,Streetwear_Style,East,dark_blue,charcoal_gray
normal,Blonde,Ethnic_fashion_style,South,pink,khaki_brown
fair,Blonde,Formal_Office_Wear,West,brown,gold
normal,Blonde,Evening_Black_Tie,North,khaki_brown,brown
fair,Black,Military_style,North,light_gray,dark_blue
fair,Blonde,Casual_Chic_Style,West,light_blue,dark_blue
fair,Black,Business_Casual,East,purple,navy_blue
dark,Brown,Casual_Chic_Style,South,pink,gold
dark,Blonde,Ethnic_fashion_style,East,violet,white
fair,Brown,Military_style,West,khaki_brown,dark_brown
dark,Blonde,Skateboarders,South,red,navy_blue
dark,Brown,Retro_Fashion,North,blue,light_gray
normal,Blonde,Ethnic_fashion_style,East,purple,charcoal_gray
normal,Brown,Geeky_chic_Style,North,medium_gray,white
dark,Brown,Business_Casual,North,light_gray,charcoal_gray
dark,Brown,Streetwear_Style,North,spring_green,dark_blue
fair,Brown,Flamboyant_style,North,dark_blue,black
dark,Brown,Formal_Office_Wear,South,sky_blue,dark_brown
fair,Black,Girly_Style,North,khaki_brown,black
normal,Black,Sports_Wear,East,khaki_brown,khaki_brown
normal,Brown,Rocker_Chic_Style,South,yellow,charcoal_gray
normal,Blonde,Geeky_chic_Style,South,maroon,charcoal_gray
normal,Black,Geeky_chic_Style,South,red,light_gray
normal,Brown,Hip_Hop_Style,South,maroon,black
dark,Brown,Streetwear_Style,South,khaki_brown,charcoal_gray
normal,Brown,Rocker_Chic_Style,West,charcoal_gray,charcoal_gray
normal,Black,Streetwear_Style,East,olive_green,light_blue
normal,Brown,Sports_Wear,West,purple,tan_brown
dark,Blonde,Evening_Black_Tie,East,dark_blue,khaki_brown
fair,Blonde,Girly_Style,South,spring_green,navy_blue
normal,Black,Hip_Hop_Style,West,spring_green,charcoal_gray
fair,Blonde,Flamboyant_style,North,maroon,navy_blue
normal,Blonde,Streetwear_Style,South,blue,medium_gray
fair,Brown,Sports_Wear,West,light_gray,medium_gray
normal,Blonde,Rocker_Chic_Style,West,green,dark_blue
fair,Brown,Retro_Fashion,West,lavender,khaki_brown
dark,Brown,Business_Casual,South,white,charcoal_gray
fair,Blonde,Ethnic_fashion_style,East,light_blue,light_gray
normal,Brown,Streetwear_Style,South,orange,medium_gray
fair,Brown,Skateboarders,West,dark_blue,charcoal_gray
fair,Blonde,Ethnic_fashion_style,East,maroon,light_blue
fair,Blonde,Military_style,West,maroon,black
dark,Blonde,Military_style,South,navy_blue,charcoal_gray
dark,Brown,Streetwear_Style,South,blue,tan_brown
normal,Black,Flamboyant_style,West,olive_green,black
fair,Blonde,Geeky_chic_Style,East,white,light_gray
normal,Blonde,Streetwear_Style,East,light_gray,black
fair,Brown,Retro_Fashion,East,brown,white
fair,Brown,Formal_Office_Wear,West,charcoal_gray,brown
dark,Black,Retro_Fashion,West,light_blue,light_gray
fair,Black,Business_Casual,South,navy_blue,light_gray
normal,Blonde,Hip_Hop_Style,North,violet,khaki_brown
dark,Brown,Girly_Style,West,navy_blue,khaki_brown
fair,Black,Retro_Fashion,South,orange,khaki_brown
dark,Brown,Hip_Hop_Style,North,tan_brown,khaki_brown
normal,Black,Evening_Black_Tie,West,khaki_brown,tan_brown
normal,Blonde,Casual_Chic_Style,West,black,light_gray
fair,Blonde,Business_Casual,North,blue,tan_brown
normal,Black,Sports_Wear,East,brown,black
fair,Blonde,Geeky_chic_Style,North,violet,dark_blue
normal,Brown,Formal_Office_Wear,South,lavender,white
dark,Blonde,Hip_Hop_Style,West,pink,white
normal,Blonde,Business_Casual,South,white,dark_blue
fair,Black,Hip_Hop_Style,East,dark_blue,dark_brown
fair,Brown,Formal_Office_Wear,North,charcoal_gray,white
dark,Black,Geeky_chic_Style,North,white,brown
dark,Blonde,Hip_Hop_Style,West,purple,light_gray
fair,Brown,Flamboyant_style,West,spring_green,tan_brown
dark,Brown,Military_style,West,white,gold
fair,Blonde,Formal_Office_Wear,West,sky_blue,dark_blue
normal,Blonde,Girly_Style,East,orange,black
fair,Black,Sports_Wear,North,olive_green,dark_brown
normal,Black,Retro_Fashion,West,tan_brown,brown
fair,Black,Flamboyant_style,North,gold,gold
normal,Black,Retro_Fashion,South,gold,khaki_brown
dark,Brown,Skateboarders,North,maroon,dark_brown
fair,Blonde,Hip_Hop_Style,West,light_blue,white
normal,Blonde,Formal_Office_Wear,South,medium_gray,white
dark,Brown,Ethnic_fashion_style,South,black,brown
dark,Blonde,Geeky_chic_Style,East,dark_brown,medium_gray
fair,Black,Streetwear_Style,East,pink,khaki_brown
normal,Blonde,Sports_Wear,East,lavender,medium_gray
fair,Blonde,Geeky_chic_Style,South,black,light_gray
normal,Brown,Flamboyant_style,South,blue,dark_brown
dark,Brown,Flamboyant_style,East,spring_green,white
normal,Black,Sports_Wear,North,charcoal_gray,light_blue
dark,Black,Rocker_Chic_Style,West,sky_blue,medium_gray
normal,Black,Geeky_chic_Style,North,olive_green,gold
normal,Brown,Casual_Chic_Style,East,orange,medium_gray
dark,Brown,Ethnic_fashion_style,North,black,medium_gray
fair,Black,Ethnic_fashion_style,East,navy_blue,navy_blue
fair,Blonde,Evening_Black_Tie,North,spring_green,brown
fair,Brown,Geeky_chic_Style,South,light_blue,brown
dark,Blonde,Casual_Chic_Style,East,spring_green,white
fair,Black,Business_Casual,East,sky_blue,white
fair,Blonde,Formal_Office_Wear,South,blue,black
fair,Black,Hip_Hop_Style,South,tan_brown,gold
fair,Black,Military_style,South,orange,black
fair,Brown,Ethnic_fashion_style,East,purple,gold
dark,Black,Skateboarders,East,maroon,black
fair,Black,Retro_Fashion,South,white,navy_blue
normal,Brown,Flamboyant_style,West,white,medium_gray
dark,Black,Skateboarders,East,violet,tan_brown
normal,Black,Geeky_chic_Style,North,purple,dark_brown
dark,Blonde,Casual_Chic_Style,South,light_gray,gold
fair,Black,Girly_Style,East,lavender,black
fair,Black,Evening_Black_Tie,West,blue,khaki_brown
normal,Black,Evening_Black_Tie,South,gold,khaki_brown
dark,Brown,Skateboarders,South,violet,dark_blue
normal,Brown,Streetwear_Style,South,charcoal_gray,gold
dark,Black,Sports_Wear,East,light_blue,light_blue
fair,Brown,Casual_Chic_Style,South,violet,navy_blue
dark,Black,Rocker_Chic_Style,West,dark_blue,medium_gray
dark,Black,Military_style,North,sky_blue,dark_brown
fair,Brown,Flamboyant_style,North,red,black
fair,Black,Evening_Black_Tie,North,orange,dark_brown
dark,Blonde,Hip_Hop_Style,South,khaki_brown,medium_gray
fair,Blonde,Girly_Style,East,brown,gold
dark,Black,Hip_Hop_Style,South,blue,black
fair,Brown,Flamboyant_style,East,tan_brown,khaki_brown
normal,Blonde,Skateboarders,South,dark_brown,light_gray
normal,Blonde,Casual_Chic_Style,West,green,brown
fair,Black,Casual_Chic_Style,West,dark_brown,dark_blue
dark,Blonde,Business_Casual,North,khaki_brown,light_blue
normal,Blonde,Rocker_Chic_Style,North,gold,brown
normal,Brown,Business_Casual,West,olive_green,navy_blue
fair,Black,Retro_Fashion,East,yellow,light_gray
dark,Blonde,Ethnic_fashion_style,North,navy_blue,light_blue
dark,Blonde,Military_style,North,dark_brown,dark_blue
dark,Blonde,Retro_Fashion,West,sky_blue,navy_blue
fair,Blonde,Streetwear_Style,South,green,brown
normal,Brown,Geeky_chic_Style,North,green,navy_blue
fair,Blonde,Hip_Hop_Style,North,pink,tan_brown
dark,Black,Military_style,East,medium_gray,dark_blue
fair,Blonde,Girly_Style,South,spring_green,black
dark,Black,Hip_Hop_Style,East,sky_blue,dark_brown
normal,Brown,Hip_Hop_Style,South,green,tan_brown
dark,Brown,Business_Casual,West,khaki_brown,navy_blue
dark,Black,Business_Casual,South,white,charcoal_gray
dark,Blonde,Retro_Fashion,West,olive_green,white
dark,Black,Streetwear_Style,East,pink,brown
normal,Brown,Geeky_chic_Style,East,brown,medium_gray
dark,Blonde,Flamboyant_style,East,burnt_orange,light_gray
normal,Blonde,Formal_Office_Wear,North,red,black
normal,Blonde,Streetwear_Style,North,navy_blue,charcoal_gray
